x,y,z,w
100,-400,1.020553444289883,0.44487759421244205
200,-400,1.0210323478290222,0.4979338250971993
300,-400,1.0214509551437796,0.4421484132139153
400,-400,1.0199646585405926,0.5374110540291506
500,-400,1.0198339403220544,0.48503029575829626
600,-400,1.0233258604140372,0.5497226849713683
700,-400,1.026099164790181,0.39732214020934403
800,-400,1.0245996596478708,0.2620114330859785
900,-400,1.0175238141640428,0.12374872331359182
1000,-400,1.0,0.032840168203386554
1100,-400,1.0,0.032840168203386554
1200,-400,1.0,0.032840168203386554
-1200,-300,1.0,0.032840168203386554
-1100,-300,1.0222021526863192,0.19260472919512084
-1000,-300,1.0230631513347506,0.312318128689813
-900,-300,1.0261813469350751,0.47724071388387757
-800,-300,1.0204139584739786,0.48468560950439593
-700,-300,1.0186689268823406,0.4742591248417832
-600,-300,1.0188123609427573,0.4810501705143514
-500,-300,1.019588310567653,0.46354451991344725
-400,-300,1.019023702428287,0.46534280937820216
-300,-300,1.0195253462574811,0.48553737480931153
-200,-300,1.0196430727190249,0.4470574253468056
-100,-300,1.0190183576336922,0.43945570409834556
0,-300,1.0195899645254114,0.4815944998065427
100,-300,1.0202608157735218,0.45443278357795486
200,-300,1.0241830641343515,0.5212720403110724
300,-300,1.0210312061850901,0.4782865870219188
400,-300,1.0207543852797423,0.5007147925496289
500,-300,1.0216068771951008,0.4801575181980131
600,-300,1.0209434051954436,0.5466614481287931
700,-300,1.0226466443326971,0.4115848431169197
800,-300,1.0267026026326695,0.34669153741708214
900,-300,1.0224794799042132,0.1851681086311983
1000,-300,1.0,0.032840168203386554
1100,-300,1.0,0.032840168203386554
1200,-300,1.0,0.032840168203386554
-1200,-200,1.0014007844891228,0.03896754032146268
-1100,-200,1.0244590569300935,0.23620825259717199
-1000,-200,1.0247681329557852,0.3579726808307493
-900,-200,1.026011048837942,0.5169417410521662
-800,-200,1.0188146233580646,0.5105584954635818
-700,-200,1.0188779303560473,0.5339750686001246
-600,-200,1.0185018371669252,0.4553983860912971
-500,-200,1.0187199541165397,0.47096054815350813
-400,-200,1.0203655704245496,0.4763081632648489
-300,-200,1.0207983568696997,0.4896520300968272
-200,-200,1.0197366871350484,0.5057409398396526
-100,-200,1.0186499391107744,0.4636180171595552
0,-200,1.0194567555048801,0.4952408352892982
100,-200,1.021682210280735,0.498311024755608
200,-200,1.0211518917906626,0.4673068671793624
300,-200,1.0203661193007902,0.4571607741615678
400,-200,1.0203087004777347,0.4934905592327882
500,-200,1.0195353625456292,0.504052856623342
600,-200,1.0188613096558732,0.455840569828895
700,-200,1.0223326392627397,0.4704582714280107
800,-200,1.0245527425252368,0.3609164160206124
