x,y,mi,mis,sc,sc_masked,nmi,masked_mi,mis_masked
-300,-1000,0.12341610351368718,0.029883820398532962,0.281097412109375,-0.935322831151542,1.0221231907773158,0.013731166305665909,-0.08509288516981667
-200,-1000,0.16358831517728295,0.07674562602707216,0.283477783203125,-0.8684268915021078,1.027583890774256,0.013580795339181736,-0.08099431005243132
-100,-1000,0.18114280374075176,0.10056259517629645,0.2850799560546875,-0.8058020856445529,1.0297835197542142,0.014085954243693544,-0.07997883386369496
0,-1000,0.18288572369665942,0.10058596776144753,0.284881591796875,-0.8229975593521189,1.0299756860677676,0.013534226059457553,-0.08152900890837028
100,-1000,0.1749203963099466,0.09197719684245159,0.283233642578125,-0.8294319946749501,1.0292343785295468,0.014068452328013358,-0.08080618712173149
200,-1000,0.1374333941315517,0.047107234823808186,0.2811279296875,-0.9032615930774351,1.0241516136627113,0.013206765517091925,-0.08420836649977075
300,-1000,0.08218765313044518,-0.017440702760391294,0.2806854248046875,-0.9962835589083647,1.015544911460952,0.01298768760838516,-0.08693465541358068
400,-1000,0.019755185201619774,-0.08024481479838023,0.2797088623046875,-1.0,1.0039151567161213,0.008920067859278926,-0.09107993214072108
500,-1000,0.019076128927134985,-0.08092387107286503,0.2797088623046875,-1.0,1.003781686934828,0.008877446291303472,-0.09112255370869654
600,-1000,0.019076128927134985,-0.08092387107286503,0.2797088623046875,-1.0,1.003781686934828,0.008877446291303472,-0.09112255370869654
700,-1000,0.019076128927134985,-0.08092387107286503,0.2797088623046875,-1.0,1.003781686934828,0.008877446291303472,-0.09112255370869654
800,-1000,0.018981043273550303,-0.08101895672644971,0.2797088623046875,-1.0,1.0037667169990834,0.007976902834339817,-0.09202309716566019
900,-1000,0.013148704889806115,-0.08685129511019389,0.2797088623046875,-1.0,1.0026804450992113,0.0074532072102192655,-0.09254679278978074
1000,-1000,0.007910916279370815,-0.09208908372062918,0.2797088623046875,-1.0,1.00169024236595,0.0020703801066488375,-0.09792961989335117
1100,-1000,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
1200,-1000,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-1200,-900,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-1100,-900,0.007420689141886038,-0.09257931085811397,0.2797088623046875,-1.0,1.0015756985675441,0.00012052314185239288,-0.09987947685814762
