x,y,mi,mis,sc,sc_masked,nmi,masked_mi
-10,-10,0.2579503223743882,0.2853798764014572,0.326629638671875,0.5485910805413801,1.0265017360975854,0.019954223094684254
-9,-10,0.2596559684880761,0.28791201463850874,0.3271331787109375,0.5651209230086532,1.0266817180119303,0.02209945097169292
-8,-10,0.2632674444937497,0.2923333419865387,0.3276214599609375,0.5813179498557799,1.0270628349625788,0.024298344924782576
-7,-10,0.26652212602078384,0.29640619524643286,0.3276214599609375,0.5976813845129798,1.0274063253424448,0.02719604277281827
-6,-10,0.2663732842395181,0.29728908188762104,0.32769775390625,0.618315952962059,1.0273905413914208,0.03041690049471113
-5,-10,0.27135519629521176,0.3030059617711381,0.3279266357421875,0.6330153095185267,1.027917340516496,0.034280218292733707
-4,-10,0.2733884143377648,0.3058850861815633,0.3285675048828125,0.6499334368759707,1.0281326766124843,0.0381859736388106
-3,-10,0.27371843224791426,0.3070499166055801,0.3290252685546875,0.666629687153317,1.0281676724409645,0.0420305480721876
-2,-10,0.276173580387935,0.3100874920808571,0.329254150390625,0.6782782338584424,1.028427147349839,0.04544342612131304
-1,-10,0.27877709115158067,0.31305987349016506,0.329132080078125,0.6856556467716884,1.028702339096877,0.04831599946631184
0,-10,0.28102126841900665,0.3155009666661777,0.3285675048828125,0.6895939649434213,1.0289397976845664,0.04996353348725996
1,-10,0.2794189995200823,0.3143951477339718,0.3282470703125,0.6995229642777901,1.0287698268235046,0.05041314931603309
2,-10,0.2792197796192393,0.31412104431859583,0.3282470703125,0.6980252939871311,1.0287484609369306,0.049431690164493364
3,-10,0.2768762180359977,0.3117136930748262,0.32855224609375,0.6967495007765698,1.028500355854072,0.047106760174999006
4,-10,0.2770511597774594,0.31158355383115366,0.32830810546875,0.6906478810738851,1.0285189449483292,0.04428879848648773
5,-10,0.2716916402805744,0.3056305131450075,0.3281707763671875,0.6787774572886621,1.027951873223485,0.04057361873015839
6,-10,0.26985840037391456,0.3030678523375267,0.3281402587890625,0.6641890392722432,1.0277581243996805,0.03665677556168191
7,-10,0.2676353013986464,0.30048975003410233,0.3277587890625,0.6570889727091191,1.0275231976342767,0.033059781265008886
8,-10,0.26432526708909976,0.29652795180176894,0.3274993896484375,0.6440536942533837,1.0271735034786504,0.030045888242041005
9,-10,0.259699610343328,0.29129768001273115,0.326812744140625,0.631961393388063,1.02668504250948,0.027183094704391318
10,-10,0.25979835005589286,0.29108579181315936,0.326690673828125,0.6257488351453295,1.026695327464948,0.024825532760568293
-10,-9,0.260014322657742,0.2876463395204001,0.3271636962890625,0.5526403372531618,1.026719313699719,0.022162265013409857
-9,-9,0.2635035622115227,0.2920230873945713,0.327392578125,0.5703905036609718,1.027087688086914,0.024865079348663683
-8,-9,0.26729581666441005,0.2966557012883284,0.3277587890625,0.587197692478367,1.027488213759008,0.027873188515707015
-7,-9,0.268231026042996,0.29883342231546106,0.32861328125,0.6120479254493011,1.0275867741901412,0.03182992962332985
-6,-9,0.2712541420132346,0.30289104017165486,0.3285064697265625,0.6327379631684047,1.0279063051389472,0.036284778010191504
-5,-9,0.27575245061117215,0.30851260148758664,0.32830810546875,0.6552030175282894,1.0283824244712907,0.04134018245051449
-4,-9,0.27884578343239524,0.31256555268023195,0.3278656005859375,0.674395384956734,1.02871021758811,0.04681366895443598
-3,-9,0.2856291255679868,0.3202724581617299,0.3279876708984375,0.6928666518748613,1.029429275139046,0.052264759446539244
