x,y,z,w
-1200,-1400,-6.650887377409963e-16,0.032840168203386554
-1100,-1400,-6.650887377409963e-16,0.032840168203386554
-1000,-1400,-6.650887377409963e-16,0.032840168203386554
-900,-1400,-6.650887377409963e-16,0.032840168203386554
-800,-1400,-6.650887377409963e-16,0.032840168203386554
-700,-1400,-6.650887377409963e-16,0.032840168203386554
-600,-1400,-6.650887377409963e-16,0.032840168203386554
-500,-1400,-6.650887377409963e-16,0.032840168203386554
-400,-1400,-6.650887377409963e-16,0.032840168203386554
-300,-1400,-6.650887377409963e-16,0.032840168203386554
-200,-1400,-6.650887377409963e-16,0.032840168203386554
-100,-1400,-6.650887377409963e-16,0.032840168203386554
0,-1400,-6.650887377409963e-16,0.032840168203386554
100,-1400,-6.650887377409963e-16,0.032840168203386554
200,-1400,-6.650887377409963e-16,0.032840168203386554
300,-1400,-6.650887377409963e-16,0.032840168203386554
400,-1400,-6.650887377409963e-16,0.032840168203386554
500,-1400,-6.650887377409963e-16,0.032840168203386554
600,-1400,-6.650887377409963e-16,0.032840168203386554
700,-1400,-6.650887377409963e-16,0.032840168203386554
800,-1400,-6.650887377409963e-16,0.032840168203386554
900,-1400,-6.650887377409963e-16,0.032840168203386554
1000,-1400,-6.650887377409963e-16,0.032840168203386554
1100,-1400,-6.650887377409963e-16,0.032840168203386554
1200,-1400,-6.650887377409963e-16,0.032840168203386554
-1200,-1300,-6.650887377409963e-16,0.032840168203386554
-1100,-1300,-6.650887377409963e-16,0.032840168203386554
-1000,-1300,-6.650887377409963e-16,0.032840168203386554
-900,-1300,-6.650887377409963e-16,0.032840168203386554
-800,-1300,-6.650887377409963e-16,0.032840168203386554
-700,-1300,-6.650887377409963e-16,0.032840168203386554
-600,-1300,-6.650887377409963e-16,0.032840168203386554
-500,-1300,-6.650887377409963e-16,0.032840168203386554
-400,-1300,-6.650887377409963e-16,0.032840168203386554
-300,-1300,-6.650887377409963e-16,0.032840168203386554
-200,-1300,-6.650887377409963e-16,0.032840168203386554
-100,-1300,-6.650887377409963e-16,0.032840168203386554
0,-1300,-6.650887377409963e-16,0.032840168203386554
100,-1300,-6.650887377409963e-16,0.032840168203386554
200,-1300,-6.650887377409963e-16,0.032840168203386554
300,-1300,-6.650887377409963e-16,0.032840168203386554
400,-1300,-6.650887377409963e-16,0.032840168203386554
500,-1300,-6.650887377409963e-16,0.032840168203386554
600,-1300,-6.650887377409963e-16,0.032840168203386554
700,-1300,-6.650887377409963e-16,0.032840168203386554
800,-1300,-6.650887377409963e-16,0.032840168203386554
900,-1300,-6.650887377409963e-16,0.032840168203386554
1000,-1300,-6.650887377409963e-16,0.032840168203386554
1100,-1300,-6.650887377409963e-16,0.032840168203386554
1200,-1300,-6.650887377409963e-16,0.032840168203386554
-1200,-1200,-6.650887377409963e-16,0.032840168203386554
-1100,-1200,-6.650887377409963e-16,0.032840168203386554
-1000,-1200,-6.650887377409963e-16,0.032840168203386554
-900,-1200,-6.650887377409963e-16,0.032840168203386554
-800,-1200,-6.650887377409963e-16,0.032840168203386554
-700,-1200,-6.650887377409963e-16,0.032840168203386554
-600,-1200,-6.650887377409963e-16,0.032840168203386554
-500,-1200,-6.650887377409963e-16,0.032840168203386554
-400,-1200,-6.650887377409963e-16,0.032840168203386554
-300,-1200,-6.650887377409963e-16,0.032840168203386554
-200,-1200,-6.650887377409963e-16,0.032840168203386554
-100,-1200,-6.650887377409963e-16,0.032840168203386554
0,-1200,-6.650887377409963e-16,0.032840168203386554
100,-1200,-6.650887377409963e-16,0.032840168203386554
200,-1200,-6.650887377409963e-16,0.032840168203386554
300,-1200,-6.650887377409963e-16,0.032840168203386554
400,-1200,-6.650887377409963e-16,0.032840168203386554
500,-1200,-6.650887377409963e-16,0.032840168203386554
600,-1200,-6.650887377409963e-16,0.032840168203386554
700,-1200,-6.650887377409963e-16,0.032840168203386554
800,-1200,-6.650887377409963e-16,0.032840168203386554
900,-1200,-6.650887377409963e-16,0.032840168203386554
1000,-1200,-6.650887377409963e-16,0.032840168203386554
1100,-1200,-6.650887377409963e-16,0.032840168203386554
1200,-1200,-6.650887377409963e-16,0.032840168203386554
-1200,-1100,-6.650887377409963e-16,0.032840168203386554
-1100,-1100,-6.650887377409963e-16,0.032840168203386554
-1000,-1100,-6.650887377409963e-16,0.032840168203386554
-900,-1100,-6.650887377409963e-16,0.032840168203386554
-800,-1100,-6.650887377409963e-16,0.032840168203386554
-700,-1100,-6.650887377409963e-16,0.032840168203386554
-600,-1100,-6.650887377409963e-16,0.032840168203386554
-500,-1100,-6.650887377409963e-16,0.032840168203386554
-400,-1100,0.0015234090500290468,0.034363577253416266
-300,-1100,0.020211380718566825,0.053051548921954045
-200,-1100,0.0364980930027442,0.06933826120613143
-100,-1100,0.044669353780606505,0.08242831369727638
0,-1100,0.038923544633609086,0.07774342041000659
100,-1100,0.019684128992236587,0.05609283236016221
200,-1100,0.002252988180067172,0.035093156383454394
300,-1100,-6.650887377409963e-16,0.032840168203386554
400,-1100,-6.650887377409963e-16,0.032840168203386554
500,-1100,-6.650887377409963e-16,0.032840168203386554
600,-1100,-6.650887377409963e-16,0.032840168203386554
700,-1100,-6.650887377409963e-16,0.032840168203386554
800,-1100,-6.650887377409963e-16,0.032840168203386554
900,-1100,-6.650887377409963e-16,0.032840168203386554
1000,-1100,-6.650887377409963e-16,0.032840168203386554
1100,-1100,-6.650887377409963e-16,0.032840168203386554
1200,-1100,-6.650887377409963e-16,0.032840168203386554
-1200,-1000,-6.650887377409963e-16,0.032840168203386554
-1100,-1000,-6.650887377409963e-16,0.032840168203386554
-1000,-1000,-6.650887377409963e-16,0.032840168203386554
-900,-1000,-6.650887377409963e-16,0.032840168203386554
-800,-1000,-6.650887377409963e-16,0.032840168203386554
-700,-1000,0.001284605900818865,0.034124774104206085
-600,-1000,0.04238717487784416,0.0759024713556035
-500,-1000,0.0860161753673461,0.12097817529018859
-400,-1000,0.14432796516916954,0.1961681719513153
-300,-1000,0.19416021263132063,0.2592618676600618
-200,-1000,0.2244042308275107,0.32379275750472225
-100,-1000,0.2327988168422078,0.34882443313787537
0,-1000,0.22807477116965771,0.3345521447277766
100,-1000,0.20018004977224185,0.29874877783057296
200,-1000,0.1521868154585258,0.2182047160024863
300,-1000,0.09181361937398738,0.1317908579064514
400,-1000,0.03960874820080302,0.07244891640419024
500,-1000,0.001372522404319552,0.03421269060770677
600,-1000,-6.650887377409963e-16,0.032840168203386554
700,-1000,-6.650887377409963e-16,0.032840168203386554
800,-1000,-6.650887377409963e-16,0.032840168203386554
900,-1000,-6.650887377409963e-16,0.032840168203386554
1000,-1000,-6.650887377409963e-16,0.032840168203386554
1100,-1000,-6.650887377409963e-16,0.032840168203386554
1200,-1000,-6.650887377409963e-16,0.032840168203386554
-1200,-900,-6.650887377409963e-16,0.032840168203386554
-1100,-900,-6.650887377409963e-16,0.032840168203386554
-1000,-900,-6.650887377409963e-16,0.032840168203386554
-900,-900,-6.650887377409963e-16,0.032840168203386554
-800,-900,0.02597372114057429,0.059199676929317005
-700,-900,0.08032257642673377,0.11677950324282882
-600,-900,0.1516792068508213,0.20236205087690057
-500,-900,0.2161227904941751,0.2797777420778331
-400,-900,0.2503883707329619,0.3676195732328654
-300,-900,0.2604628685054803,0.39071440201113206
-200,-900,0.26139159043324667,0.43350107694997053
-100,-900,0.27579303900196506,0.461453314454301
0,-900,0.28726371811027174,0.4466904377584335
100,-900,0.2673053660930085,0.40734625957705617
200,-900,0.2421885610000759,0.3571532614360159
300,-900,0.22164982948555811,0.31558910651962313
400,-900,0.16554214102765735,0.2252909933095909
500,-900,0.09094686543861574,0.13077943362657146
600,-900,0.027243291111162478,0.0612408220706162
700,-900,-6.650887377409963e-16,0.032840168203386554
800,-900,-6.650887377409963e-16,0.032840168203386554
900,-900,-6.650887377409963e-16,0.032840168203386554
1000,-900,-6.650887377409963e-16,0.032840168203386554
1100,-900,-6.650887377409963e-16,0.032840168203386554
1200,-900,-6.650887377409963e-16,0.032840168203386554
-1200,-800,-6.650887377409963e-16,0.032840168203386554
-1100,-800,-6.650887377409963e-16,0.032840168203386554
-1000,-800,-6.650887377409963e-16,0.032840168203386554
-900,-800,0.035171355572921496,0.07182117618169431
-800,-800,0.10579204677730747,0.17523381214129807
-700,-800,0.1783190459186302,0.2636745491785353
-600,-800,0.21158943061024843,0.35052118478639904
-500,-800,0.22112946690811938,0.37284043484917107
-400,-800,0.23826485722391105,0.4187652237221171
-300,-800,0.21223842449720856,0.4302084102230679
-200,-800,0.21252108316902146,0.4475139460986924
-100,-800,0.2390405264472652,0.5473812540426513
0,-800,0.22943891371071562,0.5250968744375395
100,-800,0.2726149066920459,0.5343717833557549
200,-800,0.3134365763915324,0.5328050421143055
300,-800,0.28821499937187506,0.45955291071788795
400,-800,0.2271910630451346,0.3357420448745393
500,-800,0.18339704482061747,0.2596383163764988
600,-800,0.11557497896549028,0.17556494848827103
700,-800,0.03607211572034778,0.0703107639206487
800,-800,-6.650887377409963e-16,0.032840168203386554
900,-800,-6.650887377409963e-16,0.032840168203386554
1000,-800,-6.650887377409963e-16,0.032840168203386554
1100,-800,-6.650887377409963e-16,0.032840168203386554
1200,-800,-6.650887377409963e-16,0.032840168203386554
-1200,-700,-6.650887377409963e-16,0.032840168203386554
-1100,-700,-6.650887377409963e-16,0.032840168203386554
-1000,-700,0.020412765771019192,0.05325293397440641
-900,-700,0.10588359545013534,0.1620639125675305
-800,-700,0.17499083222624315,0.30292764021976193
-700,-700,0.1938710166563731,0.31843218327803124
-600,-700,0.21918583147061124,0.42143497309323386
-500,-700,0.21261841104632434,0.44013663950973236
-400,-700,0.19083495708890502,0.42066791106444607
-300,-700,0.17395845794026238,0.4516772959480553
-200,-700,0.19900853425983248,0.5146310025288036
-100,-700,0.22247780479873974,0.5312525434276507
0,-700,0.20452900601924998,0.45948637649106816
100,-700,0.23001977252238506,0.5238452422187703
200,-700,0.20156684016050352,0.4544988258092053
