x,y,mi,mis,sc,sc_masked,mean_intensity
-100,-400,0.24344367913668716,0.4047039409516417,0.3169708251953125,0.8063013090747726,62.25238517861105
0,-400,0.2400829854996313,0.3877643700126111,0.3177490234375,0.738406922564899,68.47220989571777
100,-400,0.2597500419778721,0.41008285759801855,0.3170013427734375,0.7516640781007322,67.6890947415132
200,-400,0.2505833894926289,0.4081383040699531,0.321197509765625,0.7877745728866208,65.5070445972931
300,-400,0.2589715540509664,0.4139859760611727,0.3166656494140625,0.7750721100510317,66.73064122476148
400,-400,0.2563580611185811,0.4210685115290537,0.3205718994140625,0.823552252052363,60.80752163301531
500,-400,0.24500358965123997,0.39911940948705094,0.318878173828125,0.7705790991790548,64.17811182604837
600,-400,0.24060475805513612,0.39536402142323024,0.3225860595703125,0.7737963168404703,66.23258264921233
700,-400,0.2545370605363888,0.3858993858081883,0.31463623046875,0.6568116263589971,78.88717550477035
800,-400,0.24315909356694604,0.3090787740639507,0.2928466796875,0.3295984024850233,120.10017750166408
900,-400,0.17716622141945496,0.1902569691452149,0.2816009521484375,0.06545373862879965,154.51103838473486
1000,-400,0.03573403329543899,0.03573403329543899,0.2797088623046875,0.0,165.21854892389615
1100,-400,0.0,0.0,0.2797088623046875,0.0,165.93826270246282
1200,-400,0.0,0.0,0.2797088623046875,0.0,165.93826270246282
-1200,-300,0.0,0.0,0.2797088623046875,0.0,165.93826270246282
-1100,-300,0.010830240809100269,0.010830240809100269,0.2797088623046875,0.0,165.49517417350788
-1000,-300,0.21363373665161883,0.23990398293517773,0.2835845947265625,0.13135123141779453,145.8131794985578
-900,-300,0.27910431278574854,0.35561862385741483,0.2992401123046875,0.3825715553583315,112.46932549367651
-800,-300,0.2737716802472332,0.4212089999721056,0.312408447265625,0.7371865986243621,68.31495451519858
-700,-300,0.24921046612725134,0.3977017019825875,0.32275390625,0.7424561792766807,67.87985356112713
-600,-300,0.24267739804077276,0.40123075947853626,0.318878173828125,0.7927668071888174,63.6004548480142
-500,-300,0.23880405971609814,0.39472817775470476,0.31805419921875,0.7796205901930331,65.10156423341469
-400,-300,0.24329643895025088,0.39884336595269154,0.3177032470703125,0.7777346350122032,63.44991124916796
-300,-300,0.2501769940815807,0.40671127409045577,0.3195343017578125,0.7826714000443754,65.56473263811849
-200,-300,0.24763626708108405,0.39894534185366004,0.3167877197265625,0.75654537386288,66.24711559795873
-100,-300,0.24286760397121385,0.40043361240254294,0.3214263916015625,0.7878300421566452,64.81268027512758
0,-300,0.2399731287762638,0.39242487051134256,0.3147125244140625,0.7622587086753938,67.05707787885511
100,-300,0.2515922330190295,0.3931054347052953,0.31494140625,0.707566008431329,72.25737741291324
200,-300,0.2543291766179075,0.4094767248761724,0.315032958984375,0.7757377412913246,66.60472598180608
300,-300,0.2507227787495161,0.40098903124563323,0.320159912109375,0.7513312624805858,66.76991346793876
400,-300,0.24420466457831014,0.3912536994130117,0.31744384765625,0.7352451741735079,69.28300421566452
500,-300,0.2392010133049568,0.39535810227766593,0.318328857421875,0.7807854448635456,64.89311071666297
600,-300,0.24398225614592967,0.40406656943636676,0.322296142578125,0.8004215664521855,64.29892389616153
700,-300,0.2527271640970552,0.4090728485878473,0.316741943359375,0.7817284224539605,63.02235411581984
800,-300,0.26185977520771286,0.35919725024654137,0.3021697998046875,0.48668737519414246,99.811349012647
900,-300,0.21580891130622315,0.247504052198169,0.2863311767578125,0.1584757044597293,141.90309518526738
1000,-300,0.08151819051275434,0.08165131676081291,0.280303955078125,0.0006656312402928778,165.1061681828267
1100,-300,0.0,0.0,0.2797088623046875,0.0,165.93826270246282
1200,-300,0.0,0.0,0.2797088623046875,0.0,165.93826270246282
-1200,-200,0.0,0.0,0.2797088623046875,0.0,165.93826270246282
-1100,-200,0.02064609996546964,0.02064609996546964,0.2797393798828125,0.0,165.5404925671178
-1000,-200,0.22999386882692616,0.27443584797048065,0.2875518798828125,0.22220989571777236,134.1186487685822
-900,-200,0.291820325155122,0.3961580220710306,0.302520751953125,0.521688484579543,95.29559573996006
-800,-200,0.2450701559156529,0.4008389599981912,0.3171844482421875,0.7788440204126914,64.66629687153318
-700,-200,0.25115309370292854,0.4088855099443308,0.3154144287109375,0.7886620812070113,63.421899267805635
-600,-200,0.24636716706699924,0.4045100559065821,0.3200531005859375,0.7907144441979144,63.820556911471044
-500,-200,0.24219494510220144,0.4002823646717599,0.320159912109375,0.7904370978477924,63.73968271577546
-400,-200,0.24632104043938072,0.3981182447881715,0.3193359375,0.7589860217439538,67.0066008431329
-300,-200,0.24105571171477838,0.3981557782779024,0.3216705322265625,0.7855003328156202,65.14926780563567
-200,-200,0.24879203538894845,0.40318520157488147,0.319366455078125,0.771965830929665,66.73064122476148
-100,-200,0.24302935128435324,0.40499961975562015,0.3257293701171875,0.8098513423563346,63.09967827823386
0,-200,0.23989495999967153,0.39986833475005984,0.319549560546875,0.7998668737519414,63.770301752828935
100,-200,0.25026443079126515,0.39580470148130287,0.3186492919921875,0.7277013534501886,70.75061016197027
200,-200,0.24422422677934402,0.38569305304959034,0.3160247802734375,0.7073441313512314,73.2754603949412
300,-200,0.2532306878881937,0.39863783233017286,0.31500244140625,0.7270357222098958,71.24001553139561
400,-200,0.24264309502768683,0.4026719390480995,0.319854736328125,0.8001442201020634,62.466108276015085
500,-200,0.24172489678450582,0.3988027756396201,0.3187408447265625,0.7853893942755713,65.19430885289549
600,-200,0.24696360626063252,0.4012236461985069,0.320587158203125,0.7713001996893721,66.72620368315953
700,-200,0.24510186071338272,0.3993397129432474,0.314361572265625,0.7711892611493233,63.975870867539385
800,-200,0.2656875247248513,0.38274987218435874,0.3094329833984375,0.5853117372975372,86.95451519857998
900,-200,0.2527139003878113,0.3047107941086899,0.2919769287109375,0.25998446860439317,129.44147992012424
1000,-200,0.13700753505575008,0.13869380086449204,0.282684326171875,0.008431329043709785,164.17378522298645
1100,-200,0.0,0.0,0.2797088623046875,0.0,165.93826270246282
1200,-200,0.0,0.0,0.2797088623046875,0.0,165.93826270246282
-1200,-100,0.0,0.0,0.2797088623046875,0.0,165.93826270246282
-1100,-100,0.048115430983490984,0.048215275669534916,0.2799224853515625,0.0004992234302196583,165.48119591746172
-1000,-100,0.24793957343827605,0.30689231362021524,0.292938232421875,0.294763700909696,125.30419347681385
