x,y,mi,mis,sc,sc_masked,nmi,masked_mi
-50,-50,0.2508695365820943,0.27901187072897693,0.31793212890625,0.5628466829376525,1.0257796051392278,0.00402412554795573
-45,-50,0.24921138120371597,0.2768766796283887,0.319671630859375,0.5533059684934546,1.0256010934884303,0.004655003650377467
-40,-50,0.2503168304204916,0.27887241062905604,0.31951904296875,0.5711116041712891,1.0257148503748008,0.005050931868007135
-35,-50,0.24916754675266126,0.2764639745316717,0.3229522705078125,0.5459285555802086,1.025590573254434,0.0065003187527686536
-30,-50,0.2496164020359674,0.27657724073133017,0.32275390625,0.5392167739072554,1.0256381893728506,0.005618167764017501
-25,-50,0.2506822108438205,0.2785388782500774,0.3234405517578125,0.5571333481251387,1.025750330102815,0.00448761993509833
-20,-50,0.24618272998216228,0.2752347601574452,0.3226470947265625,0.5810406035056579,1.0252754301471443,0.004636481326203449
-15,-50,0.24878523228823718,0.2790409456230497,0.326324462890625,0.6051142666962502,1.0255484870790799,0.005011640650811805
-10,-50,0.2467874472331731,0.2777087918082785,0.328125,0.6184268915021078,1.0253379724007587,0.006385709418038251
-5,-50,0.2490386893664377,0.2803150372696993,0.3250579833984375,0.6255269580652318,1.0255747413524738,0.00833075703387533
0,-50,0.24920976843513057,0.28035021662683235,0.3245697021484375,0.622808963834036,1.0255921424440342,0.008634429125428998
5,-50,0.2499365353902834,0.281162960950523,0.324737548828125,0.6245285112047926,1.0256682797010228,0.007755622758452978
10,-50,0.25094641181997357,0.28133247793934346,0.3248443603515625,0.6077213223873974,1.0257738045333114,0.0070817720795867435
15,-50,0.24760908150750016,0.27729900828806375,0.3258056640625,0.5937985356112714,1.0254231724525509,0.005480274073392763
20,-50,0.24747790838503508,0.27778354406286954,0.32513427734375,0.6061127135566896,1.0254109310335997,0.0059547462906300655
25,-50,0.2493675009761413,0.280607793853887,0.3238067626953125,0.6248058575549146,1.0256112358025826,0.0059060594648752
30,-50,0.25460139527426107,0.28631595041071545,0.3249969482421875,0.6342911027290881,1.026161767099271,0.0069068430462884915
35,-50,0.25042025487558306,0.28367130879171354,0.325103759765625,0.6650210783226093,1.0257193700295166,0.007732636913787731
40,-50,0.2540749502568852,0.28745913042107424,0.324920654296875,0.6676836032837807,1.026102653441392,0.008974877463470657
45,-50,0.25353436718401934,0.28733456687339143,0.32623291015625,0.6760039937874418,1.0260431765094593,0.00883057537542232
50,-50,0.25148378309812536,0.28443807641962526,0.3258209228515625,0.6590858664299978,1.025825744600505,0.007858029638641337
-50,-45,0.24952462262283787,0.2772731249525472,0.3184967041015625,0.5549700465941868,1.0256374248242923,0.005223993322216889
-45,-45,0.2513392363605885,0.2779339778737902,0.320068359375,0.5318948302640337,1.025824848470099,0.005431999102238787
-40,-45,0.2415465180138024,0.2689400170153555,0.3211212158203125,0.5478699800310628,1.02479120280802,0.005044104009810127
-35,-45,0.24789587824483378,0.2754946135454772,0.3214874267578125,0.5519747060128689,1.0254563212174777,0.005054463631096175
-30,-45,0.24874534073613588,0.27703189498508196,0.3230438232421875,0.5657310849789217,1.0255461537974548,0.004015622714682912
-25,-45,0.25307806473821437,0.28266259990573156,0.325042724609375,0.5916907033503439,1.026002466246579,0.004508239104785395
-20,-45,0.2544888770735336,0.28524658730206703,0.3241424560546875,0.6151542045706678,1.026150140205564,0.006999688473331779
-15,-45,0.25353273429399026,0.2839243473403626,0.3266143798828125,0.6078322609274462,1.0260485451139376,0.006877797565452945
-10,-45,0.2524169264042142,0.282575568516484,0.3274383544921875,0.603172842245396,1.0259308571493306,0.007922869392383836
-5,-45,0.24976366444095993,0.28048531964397744,0.3265533447265625,0.6144331040603506,1.0256510467608075,0.009108270141027384
0,-45,0.2502041689361812,0.2824429086743662,0.3245391845703125,0.6447747947637009,1.0256968992311306,0.010131466561718786
5,-45,0.2504680137428391,0.2826623780650046,0.32623291015625,0.6438872864433104,1.0257240129516936,0.009767023518586642
10,-45,0.2545941023908994,0.2860978743012611,0.3259429931640625,0.6300754382072332,1.0261575792651025,0.008384954167244961
15,-45,0.2466759614712427,0.2772117946196785,0.326019287109375,0.6107166629687153,1.0253240288967895,0.0075658035593919185
20,-45,0.2530133547897155,0.2833633658835695,0.325439453125,0.6070002218770801,1.0259932717812605,0.0077820944370914375
25,-45,0.25138646153699895,0.28189178658692127,0.3256378173828125,0.6101065009984469,1.0258239922412844,0.0066139173451354415
30,-45,0.25050856040666575,0.28159353932834313,0.325439453125,0.6216995784335478,1.0257312383320112,0.007077681065388774
35,-45,0.2545610145856302,0.286960615206886,0.3260498046875,0.6479920124251165,1.026156962447806,0.010390728577143253
40,-45,0.255708702489883,0.2886241673223658,0.3269500732421875,0.6583092966496561,1.0262762759518007,0.013112097670228756
45,-45,0.25645612241414967,0.2896628009142606,0.324981689453125,0.6641335700022187,1.0263532353923217,0.01259316089873288
50,-45,0.2555357081678725,0.2894246586892837,0.32501220703125,0.6777790104282228,1.02625516739032,0.010631410507094756
-50,-40,0.249119500441526,0.2759888148413485,0.3187408447265625,0.5373862879964499,1.0255925216757424,0.007064182407867296
-45,-40,0.24874665109233585,0.274617518631719,0.3171844482421875,0.5174173507876636,1.025549271327163,0.007025075220070946
-40,-40,0.24965867664498817,0.2764364667492704,0.321014404296875,0.5355558020856446,1.0256428013242245,0.006268500900059823
-35,-40,0.2494259436468601,0.2773186660786329,0.321929931640625,0.557854448635456,1.0256152195001538,0.005554553751505736
-30,-40,0.2488919467083493,0.27805768888718224,0.3223419189453125,0.5833148435766585,1.0255594604231273,0.004337458109826277
-25,-40,0.24929195593552025,0.2794450511207876,0.3252105712890625,0.6030619037053473,1.025601239653778,0.005331090909278513
-20,-40,0.250602656097387,0.28175142467959247,0.3248291015625,0.6229753716441092,1.0257384603797999,0.0075705234799386695
-15,-40,0.25260481893867737,0.283151745941118,0.327362060546875,0.610938540048813,1.0259490324273952,0.008069735994487875
-10,-40,0.24787926437156782,0.2780711880458523,0.3268280029296875,0.603838473485689,1.0254513261305684,0.006735180033607036
-5,-40,0.2496253952648523,0.2803553708583735,0.3260955810546875,0.6145995118704238,1.0256349954643302,0.00842539279865754
0,-40,0.2497307289540137,0.28213864996577315,0.32537841796875,0.6481584202351897,1.0256456572671513,0.009313916986091604
5,-40,0.25257201124752376,0.2854625149084956,0.3238677978515625,0.6578100732194364,1.025944411693026,0.009683250442542568
10,-40,0.2508073413088746,0.28281033664945593,0.326171875,0.6400599068116264,1.0257568780775383,0.009275230044353143
15,-40,0.2548443560585092,0.2860652346917464,0.3269500732421875,0.6244175726647437,1.0261825179348865,0.009332909031386512
20,-40,0.2492780358413187,0.2802326619784387,0.32720947265625,0.6190925227424007,1.0255971639649784,0.007557415505198137
25,-40,0.24803760609041145,0.2778883937540458,0.3275909423828125,0.597015753272687,1.0254689815267186,0.005497737488175041
30,-40,0.2515545233438231,0.2819017609741759,0.32586669921875,0.6069447526070557,1.0258395961734506,0.007231374402663573
