x,y,z
300,-600,0.1770979657256816
400,-600,0.2040814282286901
500,-600,0.25995002834283887
600,-600,0.23242855548646263
700,-600,0.16512757008205553
800,-600,0.08843759922894037
900,-600,0.0003152689503057019
1000,-600,-6.650887377409963e-16
-1000,-500,0.13686306705822854
-900,-500,0.1729309004124797
-800,-500,0.21446125772383964
-700,-500,0.20737425202537424
-600,-500,0.1793712691362708
-500,-500,0.18729692818986152
-400,-500,0.1791459306520215
-300,-500,0.1767596482711808
-200,-500,0.1705902959886169
-100,-500,0.17890845298781788
0,-500,0.1794639829238724
100,-500,0.18369738974103184
200,-500,0.19293060109373245
300,-500,0.18482429027676517
400,-500,0.1843472743535837
500,-500,0.20360655161845337
600,-500,0.24839237710524917
700,-500,0.2056308128733974
800,-500,0.14036054204053
900,-500,0.03991758582258638
1000,-500,-6.650887377409963e-16
-1000,-400,0.15927099420677654
-900,-400,0.19619553462857817
-800,-400,0.22854709309827712
-700,-400,0.18481926712882513
-600,-400,0.19119432558295818
-500,-400,0.18307120388022222
-400,-400,0.17897874456861934
-300,-400,0.1808629581327759
-200,-400,0.1760534465372346
-100,-400,0.18488721611843276
0,-400,0.18718261129048555
100,-400,0.1960928251063119
200,-400,0.20039514989176743
300,-400,0.20377990891238373
400,-400,0.1898164396238421
500,-400,0.18903477089428639
600,-400,0.21939206501071867
700,-400,0.21850959439706827
800,-400,0.16633611191781372
900,-400,0.08777403097919115
1000,-400,-6.650887377409963e-16
-1000,-300,0.17227723520576535
-900,-300,0.23347118338736894
-800,-300,0.19500735635058242
-700,-300,0.17831182342594276
-600,-300,0.17888204428465349
-500,-300,0.18645258673185708
-400,-300,0.18111380586753517
-300,-300,0.1860215382289327
-200,-300,0.18708481626536583
-100,-300,0.18078512811748063
0,-300,0.1869010080431076
100,-300,0.19349570553312634
200,-300,0.22971307267865093
300,-300,0.19974795039524545
400,-300,0.19695529253033955
500,-300,0.20528386363221704
600,-300,0.1995008447570097
700,-300,0.20190929047620368
800,-300,0.19850088119239945
900,-300,0.12604616117546744
1000,-300,-6.650887377409963e-16
-1000,-200,0.1957007777405907
-900,-200,0.2402838189041009
-800,-200,0.1801314286065932
-700,-200,0.1805936404144836
-600,-200,0.17613639774208223
-500,-200,0.17814777086868117
-400,-200,0.19362231009560385
-300,-200,0.19804483901623615
-200,-200,0.18847887433292063
-100,-200,0.1777494164111273
0,-200,0.18608030907503173
100,-200,0.20684850401952531
200,-200,0.2016921146620984
300,-200,0.19357140646742022
400,-200,0.19204578472563183
500,-200,0.18529586422335748
600,-200,0.17918264768082973
700,-200,0.20590443477047438
800,-200,0.19362927432083232
900,-200,0.14735093716065129
1000,-200,0.007744497632972608
-1000,-100,0.22187993889352062
-900,-100,0.23342783457938315
-800,-100,0.18886755138854405
-700,-100,0.18522141391782623
-600,-100,0.1822647146096527
-500,-100,0.18753156852642888
-400,-100,0.19040187561408545
-300,-100,0.19699364496894486
-200,-100,0.18750166027396178
-100,-100,0.19126846383663942
0,-100,0.19291960046093526
100,-100,0.1983693023751222
200,-100,0.18510393629583852
300,-100,0.18682006317527655
400,-100,0.18356085986300574
500,-100,0.17392352295521793
600,-100,0.16956197523706132
700,-100,0.19282449099974017
800,-100,0.18846765144704566
900,-100,0.15585647715438597
1000,-100,0.01942364058581271
-1000,0,0.2335174506883826
-900,0,0.22749007250816916
-800,0,0.18715507144666169
-700,0,0.20153403433226233
-600,0,0.20033148060501896
-500,0,0.17804067543269902
-400,0,0.17995284689934282
-300,0,0.18214129825982225
-200,0,0.19062269006319238
-100,0,0.19188079978214054
0,0,0.22089132214086682
100,0,0.18614482750708758
