x,y,mi,mis,sc,sc_masked,mean_intensity,p-cor
600,-1300,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
700,-1300,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
800,-1300,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
900,-1300,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
1000,-1300,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
1100,-1300,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
1200,-1300,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-1200,-1200,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-1100,-1200,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-1000,-1200,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-900,-1200,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-800,-1200,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-700,-1200,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-600,-1200,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-500,-1200,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-400,-1200,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-300,-1200,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-200,-1200,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-100,-1200,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
0,-1200,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
100,-1200,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
200,-1200,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
300,-1200,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
400,-1200,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
500,-1200,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
600,-1200,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
700,-1200,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
800,-1200,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
900,-1200,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
1000,-1200,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
1100,-1200,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
1200,-1200,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-1200,-1100,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-1100,-1100,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-1000,-1100,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-900,-1100,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-800,-1100,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-700,-1100,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-600,-1100,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-500,-1100,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-400,-1100,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-300,-1100,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-200,-1100,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-100,-1100,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
0,-1100,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
100,-1100,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
200,-1100,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
300,-1100,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
400,-1100,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
500,-1100,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
600,-1100,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
700,-1100,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
800,-1100,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
900,-1100,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
1000,-1100,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
1100,-1100,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
1200,-1100,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-1200,-1000,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-1100,-1000,0.002194082707107203,-0.19780591729289282,0.2797088623046875,-1.0,165.81733969380963,-0.05855707618249535
-1000,-1000,0.011507481487939895,-0.18849251851206011,0.2797088623046875,-1.0,165.43765254049256,-0.09549715460156182
-900,-1000,0.013710292019036827,-0.18628970798096317,0.2797088623046875,-1.0,165.10650099844685,-0.047476488773275184
-800,-1000,0.019076128927134985,-0.18092387107286503,0.2797088623046875,-1.0,165.03966052806746,-0.045869673127859806
-700,-1000,0.019076128927134985,-0.18092387107286503,0.2797088623046875,-1.0,165.03966052806746,-0.045869673127859806
-600,-1000,0.019076128927134985,-0.18092387107286503,0.2797088623046875,-1.0,165.03966052806746,-0.045869673127859806
-500,-1000,0.019076128927134985,-0.18092387107286503,0.2797088623046875,-1.0,165.03966052806746,-0.045869673127859806
-400,-1000,0.058863179306825164,-0.13734272262350544,0.2797088623046875,-0.981029509651653,163.95196361215886,-0.06945909589312779
-300,-1000,0.12341610351368718,-0.06364846271662125,0.281097412109375,-0.935322831151542,161.0165853117373,-0.10402467775827655
-200,-1000,0.16358831517728295,-0.010097063123138628,0.283477783203125,-0.8684268915021078,156.20457066785002,-0.050877283191016635
-100,-1000,0.18114280374075176,0.019982386611841152,0.2850799560546875,-0.8058020856445529,153.1115487020191,-0.05399637795215101
