x,y,mi,mis,sc,sc_masked,mean_intensity,p-cor
-600,100,0.259254313,0.403496603,0.31892395,0.721211449,71.87325272,0.074511527
200,-700,0.247092284,0.390713318,0.313308716,0.71810517,71.27546039,0.07404938
-300,-900,0.272289655,0.317486016,0.29524231,0.225981806,133.9935101,0.073062599
-700,100,0.244808862,0.392900719,0.316574097,0.740459286,68.41812736,0.071829315
-900,100,0.278030827,0.410946292,0.308578491,0.664577324,78.12025738,0.070831411
-600,-300,0.242677398,0.401230759,0.318878174,0.792766807,63.60045485,0.070571197
-800,-200,0.245070156,0.40083896,0.317184448,0.77884402,64.66629687,0.069734745
100,100,0.249180798,0.400035025,0.318359375,0.754271134,67.55374972,0.068643199
-100,300,0.244073142,0.401017895,0.318450928,0.784723763,64.3501775,0.068298428
700,-200,0.245101861,0.399339713,0.314361572,0.771189261,63.97587087,0.067887763
100,-400,0.259750042,0.410082858,0.317001343,0.751664078,67.68909474,0.067286222
400,-400,0.256358061,0.421068512,0.320571899,0.823552252,60.80752163,0.065652186
-700,-600,0.290959519,0.37101277,0.303771973,0.400266252,109.5048813,0.064965296
-200,-900,0.279536856,0.338301001,0.298110962,0.293820723,124.4956179,0.064383154
-400,100,0.238388792,0.395588704,0.320739746,0.785999556,64.05563568,0.063644081
-400,-300,0.243296439,0.398843366,0.317703247,0.777734635,63.44991125,0.062292187
-600,-600,0.273564865,0.411761005,0.313690186,0.690980697,75.01320169,0.061881405
0,-100,0.251134397,0.410109325,0.322631836,0.794874639,64.22331928,0.061298487
-800,-500,0.256383106,0.325198282,0.293838501,0.344075882,117.5019969,0.060318818
400,600,0.240934719,0.399288391,0.317825317,0.79176836,63.18787442,0.059809706
300,500,0.244667265,0.406393468,0.321685791,0.808631018,61.43715332,0.057817007
-700,-500,0.285821382,0.429198351,0.311050415,0.716884846,70.37447304,0.056473162
-900,-200,0.291820325,0.396158022,0.302520752,0.521688485,95.29559574,0.05642226
-700,-700,0.239981003,0.274982112,0.28968811,0.175005547,138.1051143,0.056352466
-400,-500,0.240785368,0.399649358,0.322540283,0.794319947,63.67062347,0.056297235
600,600,0.248321105,0.383987846,0.309127808,0.678333703,75.94186821,0.056148261
-1000,100,0.250708823,0.312623623,0.296188354,0.309573996,124.3380852,0.055978406
900,-900,0.014138782,0.014138782,0.279708862,0,164.4655536,0.055834195
-700,-400,0.245882375,0.409672035,0.316192627,0.818948303,60.39605059,0.055814274
200,-900,0.263433548,0.306233637,0.290847778,0.214000444,135.7865542,0.053843895
-300,500,0.244294019,0.401782371,0.314804077,0.787441757,63.95518083,0.053661245
900,-300,0.215808911,0.247504052,0.286331177,0.158475704,141.9030952,0.052848039
-100,500,0.245028679,0.404880021,0.318527222,0.799256712,62.70368316,0.050613993
-100,-700,0.250937022,0.407327081,0.316345215,0.7819503,64.16873752,0.049187061
800,-400,0.243159094,0.309078774,0.29284668,0.329598402,120.1001775,0.049158607
-700,900,0.043591414,0.043591414,0.279708862,0,161.6344575,0.048033534
500,-100,0.239322203,0.396167111,0.318832397,0.78422454,64.9005436,0.047744852
700,-600,0.23036067,0.274125924,0.290390015,0.21882627,132.8806856,0.047679815
600,900,0.067023553,0.067023553,0.279876709,0,161.6279121,0.047309667
-800,900,0.015837509,0.015837509,0.279708862,0,161.6277457,0.047209899
700,900,0.016610786,0.016610786,0.279708862,0,161.6277457,0.047209899
-100,800,0.237742114,0.403240228,0.318328857,0.82749057,58.85844242,0.047020889
-300,-700,0.23672948,0.397734583,0.320281982,0.805025516,62.09035944,0.046085689
800,900,0.015558401,0.015558401,0.279708862,0,161.6626914,0.045005199
-800,200,0.238685321,0.3957632,0.32208252,0.785389394,64.8857333,0.044843314
-600,0,0.251016657,0.408782355,0.318435669,0.788828489,63.05008875,0.044547399
-200,-800,0.279370442,0.430590766,0.311965942,0.75610162,65.41235855,0.04359127
-200,200,0.245697101,0.400179018,0.317993164,0.772409585,65.28982694,0.042784754
100,-800,0.275344753,0.41022383,0.312438965,0.674395385,75.73352563,0.042701906
200,500,0.237004402,0.391364287,0.318771362,0.771799423,65.42422898,0.041971665
-1000,-200,0.229993869,0.274435848,0.28755188,0.222209896,134.1186488,0.041774939
400,-800,0.247659417,0.308331705,0.295196533,0.303361438,122.4081984,0.041602173
-900,900,0.016674515,0.016674515,0.279708862,0,161.9358775,0.041042929
800,-500,0.238954221,0.269872792,0.2862854,0.154592856,141.4089195,0.040256927
-1000,300,0.210231252,0.247928168,0.282623291,0.18848458,139.0398269,0.039904834
600,400,0.237530483,0.400255134,0.318389893,0.813623253,60.26819392,0.039668553
700,-500,0.256397048,0.353545927,0.298126221,0.485744398,100.8242179,0.038858552
500,-200,0.241724897,0.398802776,0.318740845,0.785389394,65.19430885,0.038785278
-1000,400,0.161584258,0.175684546,0.28012085,0.070501442,153.9405924,0.03813142
600,-700,0.226681259,0.270302293,0.290786743,0.21810517,133.211227,0.038042367
500,-700,0.247357052,0.344627964,0.302337646,0.48635456,98.79992234,0.037649979
900,-200,0.2527139,0.304710794,0.291976929,0.259984469,129.4414799,0.037475311
-1100,900,0.008369181,0.008369181,0.279708862,0,165.5699467,0.037257581
-200,-400,0.236743257,0.388729057,0.318313599,0.759928999,66.55929665,0.035696727
300,-600,0.242028663,0.401791255,0.323654175,0.798812958,63.26059463,0.035267104
-800,700,0.165153236,0.184212477,0.28314209,0.095296206,147.8193921,0.035156502
-300,-800,0.269458776,0.387697072,0.310913086,0.59119148,86.16568671,0.034230185
500,300,0.242609461,0.404857076,0.31918335,0.811238074,60.79370978,0.034189913
-900,500,0.227814379,0.269294299,0.286773682,0.207399601,134.3089638,0.033958365
-600,600,0.245634929,0.400460755,0.316329956,0.774129132,64.83680941,0.033499825
900,-1000,0.013148705,0.013148705,0.279708862,0,165.4795318,0.032729807
600,200,0.242722488,0.405269636,0.31640625,0.812735744,62.18743066,0.03223626
200,-1000,0.137433394,0.147051766,0.28112793,0.048091857,158.8517306,0.030185066
-200,100,0.245724519,0.396190461,0.318634033,0.752329709,68.79454182,0.030110838
400,-100,0.243236747,0.403531843,0.315231323,0.801475483,63.52457289,0.029759263
500,-900,0.112368325,0.115574449,0.280563354,0.016030619,160.9872421,0.029219228
-200,-500,0.234244224,0.390512252,0.319442749,0.781340138,63.99306634,0.028274208
600,-100,0.244177125,0.398625761,0.319717407,0.772243177,65.81800533,0.028171627
-500,500,0.236556055,0.39652943,0.318206787,0.799866874,63.66113823,0.027679135
-1000,200,0.250320626,0.303293779,0.290023804,0.264865764,129.3055247,0.025096563
-600,-100,0.248772412,0.401257435,0.318145752,0.762425116,65.97592634,0.024992805
200,800,0.239250098,0.392434034,0.311737061,0.76591968,66.07155536,0.024275069
-900,400,0.26931821,0.344523446,0.295318604,0.376026181,112.5184713,0.024082551
-200,900,0.271805124,0.36618054,0.297195435,0.47187708,101.1484358,0.023734719
-900,600,0.154264374,0.165613387,0.280090332,0.056745063,153.7412359,0.023287641
-600,400,0.236690644,0.393202737,0.320129395,0.782560462,64.76231418,0.023240254
600,300,0.234585809,0.397632181,0.318267822,0.815231862,61.31972487,0.022989518
-200,800,0.251084818,0.403248119,0.31602478,0.760816508,67.89122476,0.021925642
100,300,0.242293382,0.405883353,0.319549561,0.817949856,62.26120479,0.021511241
200,-200,0.244224227,0.385693053,0.31602478,0.707344131,73.27546039,0.021000355
400,-900,0.181188993,0.197541333,0.282302856,0.081761704,153.0026071,0.020835324
100,700,0.235566827,0.389715929,0.319229126,0.770745507,65.37136676,0.020823052
800,-200,0.265687525,0.382749872,0.309432983,0.585311737,86.9545152,0.020816989
600,500,0.240892091,0.396394643,0.319717407,0.777512758,63.68410251,0.019986313
1000,900,0.048003319,0.048003319,0.279708862,0,165.2998114,0.01916306
-500,200,0.238341035,0.393466395,0.317169189,0.775626803,64.09030397,0.019016455
100,-200,0.250264431,0.395804701,0.318649292,0.727701353,70.75061016,0.018724183
700,-700,0.1723655,0.186432507,0.283309937,0.070335034,151.9741513,0.018254825
400,700,0.239841937,0.382519993,0.315353394,0.713390282,72.21755048,0.018186404
-600,200,0.238288076,0.387633538,0.319244385,0.746727313,68.07216552,0.01801943
-1100,1000,0.0076256,0.0076256,0.279708862,0,165.7965387,0.017728339
1000,-800,0.035734033,0.035734033,0.279708862,0,165.2185489,0.017464441
1000,-700,0.035734033,0.035734033,0.279708862,0,165.2185489,0.017464441
1000,-600,0.035734033,0.035734033,0.279708862,0,165.2185489,0.017464441
1000,-500,0.035734033,0.035734033,0.279708862,0,165.2185489,0.017464441
1000,-400,0.035734033,0.035734033,0.279708862,0,165.2185489,0.017464441
1000,500,0.038728964,0.038728964,0.279708862,0,165.2185489,0.017464441
1000,600,0.035734033,0.035734033,0.279708862,0,165.2185489,0.017464441
1000,700,0.035734033,0.035734033,0.279708862,0,165.2185489,0.017464441
1000,800,0.035734033,0.035734033,0.279708862,0,165.2185489,0.017464441
1000,1000,0.039346287,0.039346287,0.279708862,0,165.6137675,0.017383921
1000,400,0.05411791,0.05411791,0.279708862,0,165.283448,0.016399386
-800,-300,0.27377168,0.421209,0.312408447,0.737186599,68.31495452,0.016030345
600,-800,0.148573245,0.162973068,0.281051636,0.071999112,151.7135567,0.015222202
1000,-100,0.166426816,0.174658456,0.282455444,0.041158198,159.6597515,0.015171243
0,-500,0.237293488,0.391830874,0.313476563,0.772686931,64.66773907,0.014275068
-500,100,0.252752689,0.41478952,0.320297241,0.810184158,63.71139339,0.014199406
-600,-200,0.246367167,0.404510056,0.320053101,0.790714444,63.82055691,0.013780518
1000,-1000,0.007910916,0.007910916,0.279708862,0,165.7785112,0.013431483
0,200,0.246821854,0.389000687,0.319061279,0.710894165,71.87408476,0.013422204
-900,-700,0.026091505,0.026091505,0.279708862,0,161.2809519,0.012546648
-1000,500,0.095157759,0.097476374,0.279785156,0.011593077,162.0383293,0.012355935
-1100,0,0.064912109,0.065710866,0.280044556,0.003993787,164.8739738,0.011469551
400,-700,0.246513004,0.388414491,0.312515259,0.709507433,72.89777014,0.01110205
0,900,0.258542042,0.38959374,0.305023193,0.655258487,80.06129354,0.011069781
700,0,0.237675909,0.397505064,0.320098877,0.799145773,61.24112492,0.010720248
200,-800,0.259159539,0.385795882,0.309448242,0.633181717,78.91729532,0.010475477
-500,-100,0.246416601,0.405802002,0.320617676,0.796927002,62.96705125,0.010254876
500,-800,0.211581648,0.241723649,0.288116455,0.150710007,141.6328489,0.009986149
200,600,0.245391891,0.40580902,0.323867798,0.802085645,63.49062569,0.009627375
-100,100,0.243807119,0.395293695,0.316726685,0.757432882,67.47026847,0.008923791
-1100,-300,0.010830241,0.010830241,0.279708862,0,165.4951742,0.008344547
-800,-100,0.243766503,0.404139257,0.319625854,0.801863767,62.62719104,0.008143008
-700,0,0.252133353,0.400924123,0.317062378,0.74395385,69.15836477,0.008118457
0,-600,0.239109264,0.39534401,0.318893433,0.78117373,64.39865764,0.007935713
-200,-700,0.240193964,0.401254537,0.319671631,0.805302862,60.82810073,0.007924721
-700,800,0.17651229,0.192520722,0.283630371,0.080042157,150.0789882,0.007832005
500,-600,0.255536384,0.403206674,0.31427002,0.738351453,69.35422676,0.007718759
-900,-800,0.023779487,0.023779487,0.279708862,0,161.265254,0.006903351
-900,800,0.023779487,0.023779487,0.279708862,0,161.265254,0.006903351
100,900,0.25903923,0.386884804,0.303771973,0.639227868,82.00826492,0.006609782
800,700,0.090515268,0.091092148,0.279891968,0.002884402,160.693976,0.00651322
-400,400,0.242346674,0.391914014,0.318695068,0.747836698,66.58991569,0.006459267
