% # columns="iter, evals, sigma, 0, fitness, xbest" seed=992027, Wed Apr 24 15:28:16 2024, <python>{}</python>
1 232 86.47639552318235 0 -0.0146775016864572 157.20669387775297 146.6697429969982 141.05211501708322
2 464 87.42474666690036 0 -0.028940442461510486 83.18785750187538 375.66917330051274 142.5139949387248
3 696 90.15723618898579 0 -0.019869729478189678 200.59280646980412 279.03817125877595 55.491121939577496
4 928 86.22602223227035 0 -0.022337131398411893 44.90198187947098 318.4350482271088 146.57443268894508
5 1160 91.11535449934762 0 -0.016293443694748465 256.1904206845237 162.80835173528175 48.07888852034763
6 1392 91.02390508028118 0 -0.018693477075627685 213.53555467580856 114.96945037222122 217.21199909530745
7 1624 112.02322086440212 0 -0.02619257918002634 22.610304028675642 318.06956894963696 163.8394971952343
8 1856 120.49574309550054 0 -0.017457857603972643 270.17956637229395 163.51588013281733 168.00269505970593
9 2088 127.48404178948088 0 -0.022609302512080397 200.1724463089118 232.67245442297735 72.07063058575328
10 2320 125.0856366755967 0 -0.025186171606931654 190.2197203630721 380.4686167611874 80.52660795458817
11 2552 132.64703447023052 0 -0.023058907315858773 53.95577604688819 365.10791222519396 135.28378937795333
